u,v,X,Y,timestamp
754,353,-20.0,220.0,2026-03-04T13:54:50
756,471,-70.0,220.0,2026-03-04T13:55:13
754,588,-120.0,220.0,2026-03-04T13:55:49
756,240,30.0,220.0,2026-03-04T13:56:23
755,126,80.0,220.0,2026-03-04T13:56:43
870,127,75.0,175.0,2026-03-04T13:57:33
871,242,25.0,175.0,2026-03-04T13:58:00
871,356,-25.0,175.0,2026-03-04T13:58:11
871,473,-75.0,175.0,2026-03-04T13:58:27
870,591,-120.0,175.0,2026-03-04T13:58:38
636,586,-120.0,265.0,2026-03-04T14:00:05
638,470,-70.0,265.0,2026-03-04T14:00:26
638,356,-20.0,265.0,2026-03-04T14:00:49
640,237,25.0,265.0,2026-03-04T14:01:04
640,123,75.0,265.0,2026-03-04T14:01:19
